text_equiv	language	font_family	segment_type	segment_id	url_id	region	rotation	full_region	full_rotation
do	Portuguese	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0032_word0001	125	578,3935,79,63	359.375	233,456,2172,6851	359.375
und	German	Fraktur	Word	Kolonie-Zeitung-1888-09-25_P01_r1_line0003_word0002	181	5915,5306,125,64	359.75	4646,4817,2016,1516	359.75
Joinville,	-	Fraktur	Word	Kolonie-Zeitung-1887-04-08_P02_r1_line0004_word0000	142	4883,6645,440,87	359.75	4694,6138,2050,827	359.75
geordneter	German	Fraktur	Word	Kolonie-Zeitung-1874-11-07_P03_r1_line0008_word0003	83	3808,4061,375,96	359.375	2783,2240,3719,2799	359.375
verweigern,	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0029_word0006	64	1947,6693,315,77	0.125	441,4191,2488,4398	0.125
Bajazzo.	-	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0101_word0011	53	2945,7762,279,90	0.0	330,3310,5103,5551	0.0
Theile	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0021_word0002	125	1034,2952,208,76	359.375	233,456,2172,6851	359.375
(in	German	Textura	Word	Kolonie-Zeitung-1881-12-17_P03_r1_line0006_word0001	121	4192,7970,138,136	359.75	2983,7057,2390,1164	359.75
in	German	Fraktur	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0006_word0004	104	4319,5631,76,77	0.0	2950,4949,2494,1438	0.0
Empfehlung.	German	Textura	Word	Der-Pionier-1891-09-26_P02_r1_line0000_word0002	294	5480,513,963,235	0.25	3387,413,3423,2112	0.25
Blumenau.	German	Kanzlei	Word	Kolonie-Zeitung-1870-05-14_P03_r1_line0000_word0001	46	3998,6696,767,181	0.125	2831,6696,2483,1595	0.125
pr.	German	Fraktur	Word	Kolonie-Zeitung-1867-08-24_P03_r1_line0001_word0005	24	4988,1692,91,75	359.875	3351,1574,2644,1912	359.875
wird,	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0012_word0003	29	4435,4729,176,77	0.125	3251,3515,2466,4041	0.125
C.	German	Fraktur	Word	Kolonie-Zeitung-1874-05-16_P03_r1_line0006_word0005	76	4401,6530,64,63	0.625	2916,5806,2455,1942	0.625
oder	German	Fraktur	Word	Kolonie-Zeitung-1872-05-04_P03_r1_line0003_word0006	55	4625,6142,113,56	0.5	2931,5739,2499,1886	0.5
welchem	German	Fraktur	Word	Kolonie-Zeitung-1863-06-06_P03_r1_line0005_word0007	2	2388,4146,299,89	0.125	397,3685,3103,649	0.125
Prämiirt	German	Fraktur	Word	Der-Pionier-1888-01-21_P05_r1_line0009_word0003	222	1150,7736,308,83	359.5	174,6916,1671,2473	359.5
publico	Portuguese	Antiqua	Word	Kolonie-Zeitung-1863-12-12_P03_r1_line0002_word0005	6	1991,3411,265,93	359.75	390,3115,3065,517	359.75
Sonntag,	German	Fraktur	Word	Kolonie-Zeitung-1874-08-08_P04_r1_line0004_word0001	79	907,7443,338,89	0.25	344,7231,2520,1833	0.25
Qualität.	German	Fraktur	Word	Kolonie-Zeitung-1888-09-25_P01_r1_line0008_word0002	181	5809,6067,357,81	359.75	4646,4817,2016,1516	359.75
und	German	Fraktur	Word	Kolonie-Zeitung-1868-08-01_P03_r1_line0012_word0004	34	1793,6247,126,68	0.0	483,5282,2500,2814	0.0
große	German	Fraktur	Word	Kolonie-Zeitung-1875-06-26_P03_r1_line0005_word0003	88	3992,5069,177,91	0.375	2892,4558,2477,914	0.375
Diener	German	Fraktur	Word	Kolonie-Zeitung-1887-09-16_P03_r1_line0037_word0006	158	3431,6315,192,62	0.375	644,4277,4246,3156	0.375
Fontana.	Portuguese	Antiqua	Word	Der-Pionier-1890-05-31_P02_r1_line0007_word0002	270	6275,7574,434,64	359.875	5213,6710,1649,1161	359.875
und	German	Fraktur	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0004_word0006	104	4674,5452,127,59	0.0	2950,4949,2494,1438	0.0
Mayfarth	German	Fraktur	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0011_word0001	104	4381,6101,445,110	0.0	2950,4949,2494,1438	0.0
Die	German	Fraktur	Word	Kolonie-Zeitung-1873-01-25_P03_r1_line0001_word0000	60	536,3660,126,74	359.375	346,3487,2467,1043	359.375
guten	German	Fraktur	Word	Kolonie-Zeitung-1868-08-01_P03_r1_line0021_word0005	34	1600,6935,151,68	0.0	483,5282,2500,2814	0.0
von	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0022_word0003	125	1313,3060,127,57	359.375	233,456,2172,6851	359.375
Mal	German	Fraktur	Word	Der-Pionier-1891-09-09_P01_r1_line0023_word0004	293	5271,2061,393,158	359.625	2017,450,5055,2236	359.625
im	German	Antiqua	Word	Der-Pionier-1891-11-14_P03_r1_line0000_word0003	297	2825,7849,66,51	0.0	2093,7706,1405,2087	0.0
Aachen,	German	Fraktur	Word	Kolonie-Zeitung-1867-11-30_P03_r1_line0012_word0005	27	1935,5037,210,69	359.75	613,4008,2645,2109	359.75
Großer	German	Fraktur	Word	Der-Pionier-1889-07-24_P02_r1_line0004_word0000	254	5677,3148,652,178	0.0	5172,2651,1693,2210	0.0
Kalender,	German	Textura	Word	Kolonie-Zeitung-1887-12-23_P03_r1_line0002_word0002	169	2254,5724,470,157	0.0	758,5400,2038,1735	0.0
erfahrener	German	Fraktur	Word	Kolonie-Zeitung-1868-03-07_P03_r1_line0000_word0003	30	3960,8527,375,93	359.625	3163,8520,1186,537	359.625
ſehr	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0039_word0001	29	3447,6838,125,85	0.125	3251,3515,2466,4041	0.125
Erſter	German	Fraktur	Word	Kolonie-Zeitung-1867-12-21_P03_r1_line0010_word0000	28	1694,3257,195,67	359.625	634,2370,2609,1045	359.625
Vereins	German	Fraktur	Word	Kolonie-Zeitung-1887-03-18_P03_r1_line0008_word0004	139	3725,2223,255,73	0.0	2761,939,2043,1716	0.0
von	German	Fraktur	Word	Deutsches-Wochenblatt-1886-02-27_P03_r1_line0012_word0004	203	739,3228,58,26	0.25	118,2487,1121,820	0.25
Sie	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0015_word0002	29	3887,4983,124,72	0.125	3251,3515,2466,4041	0.125
bis	German	Fraktur	Word	Kolonie-Zeitung-1887-09-16_P03_r1_line0039_word0008	158	2886,6668,102,70	0.375	644,4277,4246,3156	0.375
Ausfuhr-	German	Antiqua	Word	Kolonie-Zeitung-1884-08-15_P03_r1_line0007_word0002	132	5781,1393,359,82	359.75	5053,592,2062,1721	359.75
an	German	Fraktur	Word	Kolonie-Zeitung-1863-06-06_P03_r1_line0003_word0009	2	3394,4076,94,57	0.125	397,3685,3103,649	0.125
lonie⸗Ztg.	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0004_word0000	29	3283,3881,328,90	0.125	3251,3515,2466,4041	0.125
der	German	Fraktur	Word	Deutsches-Echo-1886-06-19_P05_r1_line0030_word0003	206	2911,995,51,36	359.375	2331,285,1094,1125	359.375
von	German	Fraktur	Word	Kolonie-Zeitung-1873-01-25_P03_r1_line0001_word0007	60	2670,3700,125,58	359.375	346,3487,2467,1043	359.375
zu	German	Fraktur	Word	Kolonie-Zeitung-1874-11-07_P03_r1_line0025_word0006	83	5425,4780,79,78	359.375	2783,2240,3719,2799	359.375
folgen⸗	German	Fraktur	Word	Kolonie-Zeitung-1872-05-04_P03_r1_line0015_word0013	55	5208,6973,195,73	0.5	2931,5739,2499,1886	0.5
geben	German	Fraktur	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0015_word0006	75	4370,5138,186,86	0.25	2871,3671,2483,4110	0.25
mit	German	Fraktur	Word	Kolonie-Zeitung-1870-05-14_P03_r1_line0012_word0006	46	4479,7945,117,70	0.125	2831,6696,2483,1595	0.125
Görner.	German	Fraktur	Word	Kolonie-Zeitung-1874-05-16_P03_r1_line0006_word0007	76	4600,6529,209,64	0.625	2916,5806,2455,1942	0.625
von	German	Fraktur	Word	Kolonie-Zeitung-1875-08-21_P03_r1_line0006_word0004	89	4334,5606,107,50	0.375	3227,4706,2134,1813	0.375
ſolche	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0020_word0002	29	3779,5406,171,86	0.125	3251,3515,2466,4041	0.125
dem	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0021_word0000	125	342,2942,144,68	359.375	233,456,2172,6851	359.375
kommt:	German	Fraktur	Word	Der-Pionier-1889-11-02_P01_r1_line0012_word0002	259	4890,2708,388,105	359.75	3718,635,1680,3197	359.75
Vorſtand	German	Fraktur	Word	Kolonie-Zeitung-1865-01-21_P03_r1_line0002_word0002	10	1354,3922,339,93	359.75	466,3706,2921,316	359.75
Birnen;	German	Fraktur	Word	Kolonie-Zeitung-1888-09-25_P01_r1_line0003_word0003	181	6091,5274,519,141	359.75	4646,4817,2016,1516	359.75
Thlr.,	German	Fraktur	Word	Kolonie-Zeitung-1870-01-15_P03_r1_line0009_word0006	44	3977,8452,166,69	0.375	2870,7500,2507,1385	0.375
Evolutionen	German	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0099_word0001	53	705,7609,427,77	0.0	330,3310,5103,5551	0.0
Eduard	German	Antiqua	Word	Der-Pionier-1890-09-13_P02_r1_line0020_word0000	275	5255,2153,519,151	0.25	5109,546,1784,5241	0.25
daſelbſt,	German	Fraktur	Word	Kolonie-Zeitung-1868-08-01_P03_r1_line0025_word0001	34	995,7238,256,85	0.0	483,5282,2500,2814	0.0
Anerkennung	German	Fraktur	Word	Der-Pionier-1889-09-04_P02_r1_line0035_word0001	257	5538,4584,427,88	0.0	5244,463,1713,6266	0.0
engliſch,	German	Fraktur	Word	Kolonie-Zeitung-1884-08-15_P03_r1_line0009_word0001	132	5585,1645,279,96	359.75	5053,592,2062,1721	359.75
iſt	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0049_word0002	64	1111,8423,60,74	0.125	441,4191,2488,4398	0.125
liegt	German	Fraktur	Word	Kolonie-Zeitung-1887-10-14_P03_r1_line0014_word0001	161	3152,2014,143,86	359.75	2962,969,2082,3254	359.75
desfiado	Portuguese	Antiqua	Word	Kolonie-Zeitung-1887-07-29_P03_r1_line0022_word0001	152	1311,6262,345,81	0.0	664,3063,2098,3713	0.0
Empfiehlt	German	Fraktur	Word	Der-Pionier-1888-12-08_P03_r1_line0003_word0000	245	338,7612,316,86	359.75	193,7090,1700,1564	359.75
Mahlzeiten	German	Kanzlei	Word	Kolonie-Zeitung-1881-03-26_P03_r1_line0009_word0001	109	3590,8560,488,114	0.0	2835,7399,2520,1384	0.0
Rua	Portuguese	Fraktur	Word	Kolonie-Zeitung-1868-07-18_P03_r1_line0000_word0011	33	2652,6439,119,56	0.375	460,6439,2416,1096	0.375
Anfang	German	Fraktur	Word	Kolonie-Zeitung-1875-08-21_P03_r1_line0016_word0000	89	3805,6358,255,89	0.375	3227,4706,2134,1813	0.375
Man	German	Fraktur	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0010_word0000	104	3141,6005,169,70	0.0	2950,4949,2494,1438	0.0
keinen	German	Fraktur	Word	Kolonie-Zeitung-1869-08-21_P03_r1_line0008_word0006	40	1973,8853,172,61	359.375	307,7965,2529,975	359.375
DO	Portuguese	Antiqua	Word	Der-Pionier-1891-03-25_P03_r1_line0008_word0002	286	6005,6669,150,73	0.0	5437,5579,1539,1256	0.0
den	German	Fraktur	Word	Kolonie-Zeitung-1865-01-21_P03_r1_line0001_word0001	10	850,3840,112,71	359.75	466,3706,2921,316	359.75
Procopio	Portuguese	Antiqua	Word	Kolonie-Zeitung-1887-09-23_P03_r1_line0021_word0003	159	2119,8573,514,133	0.0	728,6328,2107,2800	0.0
daſs	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0004_word0009	29	5538,3881,142,83	0.125	3251,3515,2466,4041	0.125
Nummern	German	Fraktur	Word	Kolonie-Zeitung-1884-08-15_P03_r1_line0003_word0000	132	5191,905,375,80	359.75	5053,592,2062,1721	359.75
weitere	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0035_word0000	64	461,7220,196,60	0.125	441,4191,2488,4398	0.125
Office	English	Antiqua	Word	Kolonie-Zeitung-1867-08-24_P03_r1_line0021_word0002	24	3700,3290,247,76	359.875	3351,1574,2644,1912	359.875
ausführt.	German	Fraktur	Word	Kolonie-Zeitung-1871-10-14_P03_r1_line0008_word0009	53	2335,4435,309,90	0.0	330,3310,5103,5551	0.0
in	German	Fraktur	Word	Der-Pionier-1889-09-04_P02_r1_line0030_word0001	257	5476,4140,59,65	0.0	5244,463,1713,6266	0.0
bittet	German	Fraktur	Word	Kolonie-Zeitung-1887-09-16_P03_r1_line0043_word0009	158	3637,7192,178,69	0.375	644,4277,4246,3156	0.375
Zurückgabe.	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0042_word0008	64	2585,7807,333,81	0.125	441,4191,2488,4398	0.125
Bemba.	-	Fraktur	Word	Kolonie-Zeitung-1873-01-25_P03_r1_line0010_word0005	60	2264,4449,259,73	359.375	346,3487,2467,1043	359.375
Heimkehr	German	Fraktur	Word	Kolonie-Zeitung-1868-09-05_P03_r1_line0009_word0007	35	4754,5179,253,66	359.75	3077,4430,2458,1719	359.75
Rua	Portuguese	Antiqua	Word	Kolonie-Zeitung-1888-09-18_P01_r1_line0007_word0002	180	3250,8749,211,76	1.0	2715,7713,2044,1375	1.0
e	Portuguese	Antiqua	Word	Kolonie-Zeitung-1888-09-18_P01_r1_line0006_word0002	180	3619,8624,45,52	1.0	2715,7713,2044,1375	1.0
Stiftungsfeſtes,	German	Fraktur	Word	Deutsches-Echo-1886-07-17_P03_r1_line0014_word0003	207	1530,4378,260,46	0.625	1168,3831,1118,678	0.625
ein	German	Fraktur	Word	Kolonie-Zeitung-1887-10-14_P03_r1_line0029_word0003	161	4264,3325,95,67	359.75	2962,969,2082,3254	359.75
premiar	Portuguese	Antiqua	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0027_word0006	75	4544,6227,297,91	0.25	2871,3671,2483,4110	0.25
die	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0039_word0006	125	1588,4547,98,67	359.375	233,456,2172,6851	359.375
lingua	Portuguese	Antiqua	Word	Kolonie-Zeitung-1887-11-25_P03_r1_line0003_word0004	166	3901,7751,233,89	0.5	2874,7282,2058,1364	0.5
Calendario,	Portuguese	Antiqua	Word	Kolonie-Zeitung-1887-12-23_P03_r1_line0007_word0001	169	1812,6474,842,165	0.0	758,5400,2038,1735	0.0
Argentina,	Portuguese	Antiqua	Word	Kolonie-Zeitung-1887-05-20_P03_r1_line0004_word0000	147	4922,2242,326,82	359.75	4895,704,2080,3483	359.75
Eine	German	Fraktur	Word	Der-Pionier-1887-07-02_P03_r1_line0069_word0000	210	76,1827,76,36	0.0	16,142,2560,2064	0.0
Ein⸗	German	Fraktur	Word	Deutsches-Echo-1886-07-17_P03_r1_line0007_word0008	207	2188,4066,77,36	0.625	1168,3831,1118,678	0.625
Tagen	German	Fraktur	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0006_word0000	117	390,5839,214,91	0.375	374,5316,2516,2688	0.375
von	German	Fraktur	Word	Kolonie-Zeitung-1887-12-02_P03_r1_line0002_word0003	167	4861,1189,299,133	359.5	2902,768,4211,3141	359.5
ſich	German	Fraktur	Word	Kolonie-Zeitung-1867-08-24_P03_r1_line0010_word0008	24	5252,2529,88,68	359.875	3351,1574,2644,1912	359.875
Woche	German	Fraktur	Word	Kolonie-Zeitung-1874-08-01_P03_r1_line0004_word0002	78	3364,5981,214,82	0.5	2822,5563,2531,1275	0.5
Seiten	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0027_word0009	64	2737,6518,185,62	0.125	441,4191,2488,4398	0.125
Quartal.	German	Fraktur	Word	Kolonie-Zeitung-1867-08-24_P03_r1_line0001_word0006	24	5123,1682,299,72	359.875	3351,1574,2644,1912	359.875
C.	-	Antiqua	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0058_word0000	125	1292,6231,76,83	359.375	233,456,2172,6851	359.375
da	Portuguese	Antiqua	Word	Kolonie-Zeitung-1867-09-14_P03_r1_line0005_word0002	25	3791,6964,74,54	359.875	3280,6561,1312,688	359.875
Unfälle	German	Fraktur	Word	Kolonie-Zeitung-1879-11-22_P03_r1_line0001_word0001	102	3533,6423,368,123	0.0	2940,6208,2477,1208	0.0
modicos	Portuguese	Antiqua	Word	Kolonie-Zeitung-1863-05-30_P03_r1_line0000_word0008	1	2650,2920,292,70	359.75	366,2905,3083,474	359.75
und	German	Fraktur	Word	Kolonie-Zeitung-1867-08-24_P03_r1_line0009_word0002	24	4062,2463,106,54	359.875	3351,1574,2644,1912	359.875
Leute	German	Fraktur	Word	Kolonie-Zeitung-1880-06-05_P03_r1_line0002_word0003	104	3579,5269,175,72	0.0	2950,4949,2494,1438	0.0
Kommiſſions⸗	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0009_word0001	29	3984,4370,599,112	0.125	3251,3515,2466,4041	0.125
Gewinne	German	Fraktur	Word	Kolonie-Zeitung-1870-01-15_P03_r1_line0011_word0003	44	3459,8596,254,58	0.375	2870,7500,2507,1385	0.375
beſtimmt,	German	Fraktur	Word	Kolonie-Zeitung-1872-05-04_P03_r1_line0013_word0005	55	3934,6848,265,65	0.5	2931,5739,2499,1886	0.5
übernommen	German	Fraktur	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0003_word0001	117	614,5581,440,68	0.375	374,5316,2516,2688	0.375
ausgeführt	German	Antiqua	Word	Der-Pionier-1891-11-14_P03_r1_line0023_word0004	297	2901,9404,269,55	0.0	2093,7706,1405,2087	0.0
herzliches	German	Kanzlei	Word	Kolonie-Zeitung-1887-06-17_P03_r1_line0002_word0000	149	879,3618,631,158	359.75	530,3187,2047,939	359.75
Zwölf	German	Fraktur	Word	Kolonie-Zeitung-1867-11-30_P03_r1_line0015_word0010	27	2702,5243,179,71	359.75	613,4008,2645,2109	359.75
nach	German	Fraktur	Word	Kolonie-Zeitung-1870-05-14_P03_r1_line0013_word0002	46	3339,8035,138,81	0.125	2831,6696,2483,1595	0.125
Prämien	German	Fraktur	Word	Kolonie-Zeitung-1870-01-15_P03_r1_line0008_word0009	44	4709,8376,244,68	0.375	2870,7500,2507,1385	0.375
empfing	German	Fraktur	Word	Kolonie-Zeitung-1865-12-09_P03_r1_line0001_word0000	16	515,2468,287,101	359.75	512,2300,3067,1018	359.75
vor	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0019_word0003	125	903,2792,114,59	359.375	233,456,2172,6851	359.375
ein	German	Fraktur	Word	Kolonie-Zeitung-1874-11-28_P03_r1_line0003_word0006	84	4691,6967,96,68	0.375	2819,6532,2460,694	0.375
Schlichting	German	Fraktur	Word	Kolonie-Zeitung-1874-09-26_P03_r1_line0005_word0008	82	2186,8087,367,88	0.125	211,7591,2490,776	0.125
Drahtſtifte,	German	Fraktur	Word	Kolonie-Zeitung-1887-02-04_P03_r1_line0001_word0002	136	6205,5081,719,146	0.375	4912,4879,2066,905	0.375
hierfür	German	Fraktur	Word	Kolonie-Zeitung-1882-07-01_P03_r1_line0046_word0005	125	1714,5148,222,81	359.375	233,456,2172,6851	359.375
Angelegen⸗	German	Fraktur	Word	Kolonie-Zeitung-1867-08-24_P03_r1_line0019_word0011	24	5656,3140,309,71	359.875	3351,1574,2644,1912	359.875
Hauſe.	German	Fraktur	Word	Kolonie-Zeitung-1887-09-16_P03_r1_line0037_word0009	158	4138,6312,184,71	0.375	644,4277,4246,3156	0.375
Frau	German	Fraktur	Word	Kolonie-Zeitung-1887-06-17_P03_r1_line0004_word0000	149	1591,3838,171,90	359.75	530,3187,2047,939	359.75
Kneifzangen,	German	Fraktur	Word	Kolonie-Zeitung-1889-12-24_P03_r1_line0005_word0003	195	4119,5373,477,103	0.0	2507,4596,2157,3839	0.0
Ausleihen	German	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0011_word0004	64	1235,5143,286,73	0.125	441,4191,2488,4398	0.125
Protecção	Portuguese	Antiqua	Word	Kolonie-Zeitung-1877-08-25_P03_r1_line0000_word0002	95	1546,8420,371,86	0.25	519,8414,2496,459	0.25
Tafeln	German	Fraktur	Word	Der-Pionier-1889-12-18_P02_r1_line0005_word0000	264	5949,9992,283,92	0.0	5262,9145,1708,1335	0.0
auch	German	Fraktur	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0023_word0000	117	403,7576,144,81	0.375	374,5316,2516,2688	0.375
Erledigung	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0040_word0001	29	3402,6924,375,89	0.125	3251,3515,2466,4041	0.125
erſten:	German	Fraktur	Word	Kolonie-Zeitung-1874-01-31_P03_r1_line0015_word0002	73	1033,5789,204,86	359.75	384,4124,3730,2287	359.75
diene	German	Fraktur	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0013_word0004	117	2138,6492,164,64	0.375	374,5316,2516,2688	0.375
